Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C18_mean,C18_sem
-0.1,0.2922000586986542,0.072114915,0.15766291320323944,-0.062156775,0.4458659917116164,,,,,0.29220008850097656,0.1427432894706726,-0.493831635,0.055882409,-0.01381139,0.4193274676799774,1.5702449083328247,0.9598375558853149,-0.26009658,0.14940734207630157,-0.872104108,0.1531999111175537,1.0188533067703247,0.8001042008399963,0.39779773354530334,0.5087113976478577,0.48329225182533264,0.3585265278816223,1.047816276550293,0.8078989386558533,0.26848599314689636,0.5796945691108704,0.5441402792930603,0.22669045627117157,0.42831385135650635,0.17754103243350983,-0.259748429,0.22334250807762146,0.8262844085693359,0.10004300624132156
0,0.10577566176652908,0.10425587743520737,0.17129531502723694,-0.14480498,0.5116276562213896,,,,,0.10577565431594849,0.11089010536670685,-0.454955906,0.06918259,0.062433820217847824,0.3256165087223053,1.1655693054199219,0.7292541861534119,-0.059705462,0.032830454,-0.76737231,0.060386173,0.7393184304237366,0.7005295753479004,0.090967648,0.6669109463691711,0.5313228964805603,0.5764898061752319,0.5405682921409607,0.8757057189941406,-0.055092301,0.4194048345088959,0.39863014221191406,0.1653881072998047,-0.079870619,0.43245452642440796,-0.320023149,0.41290897130966187,0.637631893,0.33261486887931824
0.10000000000000009,-0.074386396,0.051681954,0.15316569805145264,-0.09943374,0.48783176839351605,,,,,-0.074386403,0.09013997,-0.373924702,0.08534117,-0.072855927,0.17349807918071747,0.9300484657287598,0.46411973237991333,-0.379403442,0.1376989483833313,-0.68690294,0.11568349599838257,0.7695407271385193,0.6120878458023071,0.075089417,1.538812279701233,-0.200049758,0.383602113,-0.033442032,0.4317519962787628,-0.328672022,0.43659162521362305,0.009834766,0.7078990936279297,0.062917046,0.18489325046539307,-0.187916204,0.2560536563396454,-0.130273744,0.26832568645477295
0.20000000000000018,-0.110152446,0.1318793147802353,0.14648081362247467,-0.12269905,0.3768847405910488,,,,,-0.110152461,0.11499938368797302,-0.395818502,0.1250133216381073,-0.152832031,0.30975088477134705,0.7853991389274597,0.5928174257278442,-0.384813339,0.1469939798116684,-0.713499367,0.090176247,0.5007056593894958,0.5443071722984314,0.15444789826869965,0.691669762,-0.69525671,0.35978204011917114,0.7709137797355652,0.9462670683860779,-0.12505655,0.5428140759468079,0.5669685006141663,0.8530694246292114,-0.097833872,0.6471773386001587,-0.964697182,0.16009117662906647,0.3494481146335602,0.4009610116481781
0.30000000000000027,0.021452501,0.068615906,0.11881754547357559,-0.192493238,0.40246358513832076,,,,,0.021452505,0.10282226651906967,-0.336147308,0.13264036178588867,-0.196129486,0.352688193,0.4815230667591095,0.46270817518234253,-0.335641652,0.052008472,-0.736690938,0.081556462,0.5148012042045593,0.4794425368309021,0.3359562158584595,0.6357958316802979,-0.527650833,0.2947353720664978,0.61639297,0.5868633985519409,-0.25453791,0.6112741231918335,0.13718052208423615,0.5619059801101685,0.001523117,0.42215943336486816,-0.329524726,0.43076083064079285,0.7896235585212708,0.40467357635498047
0.40000000000000036,0.1531423181295395,0.055828296,0.14245422184467316,-0.172863103,0.3970365434885021,,,,,0.15314234793186188,0.09840551,-0.293866634,0.1116560623049736,-0.373865694,0.34909871220588684,0.33388641476631165,0.36363929510116577,-0.308515429,0.21194936335086823,-0.743935168,0.10782313346862793,0.7007362842559814,0.5396472811698914,0.42382124066352844,0.8316335678100586,0.4057215452194214,0.34536951780319214,0.067706086,0.5053135752677917,0.4076114594936371,0.7811720371246338,0.5521383285522461,0.32513150572776794,0.5104854106903076,0.3911440074443817,-0.173121333,0.30885568261146545,0.3011840879917145,0.1809912919998169
0.5,0.048128832,0.061947219,0.15317700803279877,-0.123479148,0.41838687658309914,,,,,0.048128832,0.1029624491930008,-0.402585745,0.1417589634656906,-0.244282544,0.46841540932655334,0.12541575729846954,0.32548388838768005,-0.291941106,0.10593147575855255,-0.781787574,0.074455209,1.1692750453948975,0.728178859,0.06382113,0.6968088150024414,0.11988005042076111,0.276390404,0.31868666410446167,0.523047924,0.3132965564727783,0.11336525529623032,0.10601220279932022,0.24171628057956696,-0.035956699,0.3838318884372711,-0.06294775,0.48323726654052734,0.10381718724966049,0.2584439516067505
0.6000000000000001,0.1783624291419983,0.10197844356298447,0.13197265565395355,-0.183737397,0.3933685451745985,,,,,0.1783623993396759,0.14036597311496735,-0.487253875,0.11502368748188019,-0.405929059,0.3367875814437866,0.17470236122608185,0.5023874640464783,-0.047825232,0.15642300248146057,-0.789873123,0.073256381,1.5900644063949585,0.7868467569351196,0.055940222,0.47266390919685364,0.2235095053911209,0.39088529348373413,0.189083531,0.9262996912002563,0.9880623817443848,0.6138566136360168,0.27819594740867615,0.26738157868385315,0.2416834682226181,0.2918642461299896,-0.035485346,0.6717349886894226,0.34332552552223206,0.25199389457702637
0.7000000000000002,0.3251883089542389,0.007778807,0.13690152764320374,-0.078546982,0.4058560401201248,,,,,0.3251883089542389,0.14473772048950195,-0.41101107,0.031401198357343674,-0.628027976,0.22236275672912598,0.5913242697715759,0.28758999705314636,-0.054661553,0.13926655054092407,-0.838006318,0.077494144,1.5346578359603882,0.7294546961784363,0.5486145615577698,0.6050623059272766,0.15241917967796326,0.4657730162143707,0.020315557718276978,0.44336217641830444,0.3696613311767578,0.6735950112342834,0.4365919530391693,0.4114266633987427,0.6517983078956604,0.062196407467126846,0.8884010314941406,0.11762215942144394,0.7436186671257019,0.29738864302635193
0.8000000000000003,0.093019165,0.019016599282622337,0.1523059457540512,-0.173809785,0.5307908236980431,,,,,0.093019158,0.12132472544908524,-0.435562253,0.003398606,-0.51301986,0.12681621313095093,0.338914156,0.2617201507091522,-0.044830035,0.24546654522418976,-0.817938089,0.17450165748596191,1.2110775709152222,0.6410788297653198,-0.042951226,0.4150349795818329,-0.419268936,0.45209237933158875,0.31205224990844727,0.49577751755714417,-0.170609355,0.3276808559894562,-0.11707937,0.4603479206562042,-0.300904274,0.40846115350723267,0.11852752417325974,0.27029523253440857,0.32057565450668335,0.23797373473644257
0.9000000000000004,0.20483236014842987,0.1444287747144699,0.15914563834667206,-0.110583658,0.4956553220748898,,,,,0.20483234524726868,0.13758008182048798,-0.366903454,0.020009818,-0.404559463,0.074561685,0.6195489764213562,0.3101579546928406,0.037467241287231445,0.2523181736469269,-0.775623381,0.12057608366012573,1.2414339780807495,0.4379884898662567,-0.260189027,0.26978781819343567,0.063856862,0.20085468888282776,0.5284891724586487,0.4500652253627777,0.769176185,0.720551074,0.12451561540365219,0.25579720735549927,0.062719561,0.420789897,-0.351387024,0.3160811960697174,0.2576241195201874,0.056199085
1,0.32436802983283997,0.11172614246606827,0.14908230304718018,-0.076716775,0.4166350454092025,,,,,0.32436805963516235,0.13712826371192932,-0.383703083,0.012997145,-0.537874877,0.10408149659633636,1.2915371656417847,0.8923620581626892,0.23479117453098297,0.25582918524742126,-0.786110163,0.12163147330284119,1.3063186407089233,0.37706753611564636,0.12675298750400543,0.7480424046516418,0.24021737277507782,0.5130875706672668,0.17132915556430817,0.6053274273872375,0.053601961582899094,0.2047833800315857,0.4108777940273285,0.14755168557167053,0.3071368634700775,0.21984413266181946,0.13278152,0.29212436079978943,0.6490338444709778,0.5504850745201111
1.1,0.3269381821155548,0.052690603,0.1371964067220688,-0.132979415,0.47993367612361904,,,,,0.3269382119178772,0.15171606838703156,-0.396353245,0.070773281,-0.47884655,0.2135305404663086,1.7158536911010742,1.6107821464538574,0.6609338521957397,0.14031405746936798,-0.882564723,0.025782210752367973,1.102662205696106,0.29246437549591064,-0.82084918,0.5947486162185669,-0.047701836,0.3063858449459076,0.14152656495571136,0.5917766094207764,0.16069422662258148,0.3260290324687958,0.5685352087020874,0.060016382,0.3063229024410248,0.3873060643672943,-0.204135418,0.1700863093137741,1.0675787925720215,0.5608528256416321
1.2000000000000002,0.4437026083469391,0.04983544,0.14448077976703644,-0.190381339,0.5066777259111398,,,,,0.4437026083469391,0.15796369314193726,-0.470229477,0.1166204959154129,-0.423091799,0.2532559931278229,1.929148793,1.5780576467514038,0.3725472688674927,0.095759198,-0.842364848,0.037631329,1.1997733116149902,0.17377299070358276,0.2134803980588913,0.3872882127761841,0.35034823417663574,0.2946949005126953,0.23913614451885223,0.6438321471214294,0.9675801396369934,0.1719479262828827,0.5175533294677734,0.31220877170562744,0.9979422688484192,0.42522427439689636,-0.337084174,0.4150005877017975,0.19668304920196533,0.8713483810424805
1.3000000000000003,0.4123261868953705,0.11711587011814117,0.1530364453792572,-0.168348086,0.5522178083658212,,,,,0.4123261868953705,0.13808397948741913,-0.460782379,0.050402384251356125,-0.191796541,0.29699087142944336,1.6729516983032227,1.457398533821106,0.47823667526245117,0.19492532312870026,-0.75183481,0.074866056,1.2970737218856812,0.052316319197416306,0.4394655227661133,0.5607917308807373,0.096235298,0.873296857,0.065085627,0.4097646474838257,0.30827033519744873,0.49933183193206787,-0.292364717,0.6640586853027344,0.4951171576976776,0.28365349769592285,0.050456066,0.6189202070236206,1.0412466526031494,0.6572185754776001
1.4000000000000004,0.3377241790294647,0.1961667835712433,0.145787314,-0.16663921,0.4214744567871093,,,,,0.33772414922714233,0.1672217696905136,-0.456704289,0.070260569,-0.348994404,0.11442996561527252,1.2642741203308105,0.7505919337272644,0.6891021728515625,0.3658153712749481,-0.90824151,0.031438350677490234,1.7523568868637085,0.4455696940422058,0.3204047381877899,0.40451499819755554,-0.226529598,1.0010119676589966,0.1778508871793747,0.564694881,0.8259598612785339,0.3442220091819763,-0.120390274,0.7545667886734009,0.4079110622406006,0.3406473398208618,-0.200046703,0.28272631764411926,0.46968021988868713,0.18478938937187195
1.5,0.36157044768333435,0.2720748782157898,0.13012821972370148,-0.110097567,0.37767377495765686,,,,,0.36157041788101196,0.1645212471485138,-0.523951471,0.078357182,-0.356643587,0.1907610297203064,1.1327052116394043,0.8050393462181091,0.3202562630176544,0.29917702078819275,-0.874314129,0.090616509,1.7100791931152344,0.4098009467124939,-0.148908138,1.176956295967102,-0.375350684,0.32798269391059875,0.9539275169372559,0.5250847339630127,0.8521194458007812,1.0600370168685913,-0.059333224,0.44470906257629395,-0.207483813,0.6527217626571655,-0.098595172,0.34208011627197266,0.4133733808994293,0.17210480570793152
1.6,0.2932702600955963,0.29203540086746216,0.12014947831630707,-0.124815039,0.40392828,,,,,0.2932702302932739,0.14460177719593048,-0.4224765,0.096816793,-0.407813698,0.065629929,0.9753234386444092,0.40364882349967957,0.42822256684303284,0.46202829480171204,-0.81786412,0.17181655764579773,1.372179388999939,0.43165484070777893,-0.841809094,0.65449059,-0.050175548,0.5888341069221497,0.8653414845466614,0.18355491757392883,0.35814058780670166,0.7364873290061951,0.28321096301078796,0.4916517436504364,0.30204156041145325,0.7387696504592896,-0.30041495,1.1367520093917847,0.6513592600822449,0.5448699593544006
1.7000000000000002,0.034500736743211746,0.36573028564453125,0.11352697014808655,-0.145140666,0.4598031669855113,,,,,0.034500744,0.13716790080070496,-0.497264951,0.074666761,-0.363069534,0.13366219401359558,0.38412168622016907,0.30234554409980774,0.4109903872013092,0.4339677095413208,-0.822181642,0.095949061,1.0749073028564453,0.29298123717308044,-0.364777297,0.6667622923851013,-1.010170221,0.8963906168937683,0.7527708411216736,0.3161199986934662,0.3019390106201172,0.37715670466423035,0.032622117549180984,0.596067488,-0.629821599,0.9731630682945251,-0.103901923,0.7273201942443848,0.007408937,0.6081240177154541
1.8000000000000003,0.26354581117630005,0.23689787089824677,0.11925993859767914,-0.17285094,0.4914561182260509,,,,,0.26354581117630005,0.11420585960149765,-0.445375919,0.11969739943742752,-0.342577934,0.10333629697561264,0.6355212330818176,0.26127538084983826,0.32706406712532043,0.40477243065834045,-0.829953194,0.1978936642408371,1.0784120559692383,0.20463502407073975,0.2568904459476471,0.9058142900466919,-0.231300429,0.2987598776817322,0.8791756629943848,0.22072777152061462,0.3161698579788208,0.4475165605545044,-0.23541142,0.5641447305679321,0.3608662784099579,1.1165053844451904,0.19551657140254974,0.4235513210296631,0.20198623836040497,0.5420573353767395
1.9000000000000004,0.4893273413181305,0.26006245613098145,0.13807463645935059,-0.187808312,0.47218719422817185,,,,,0.4893272817134857,0.13801071047782898,-0.458106637,0.10506659746170044,-0.293385357,0.063830726,0.7588475346565247,0.32834574580192566,0.4976332187652588,0.41505247354507446,-0.843661785,0.1345973163843155,1.1030923128128052,0.3471216559410095,1.2827644348144531,0.7543884515762329,0.021157861,0.9355030059814453,0.6220883131027222,0.15585312247276306,0.007362008,0.6288174390792847,0.43790552020072937,0.30447232723236084,0.7416930794715881,0.7047058939933777,0.9151558876037598,0.5212535858154297,1.1037825345993042,0.7741809487342834
2,0.3468968868255615,0.2137010246515274,0.14181305468082428,-0.147403803,0.4884193152189254,,,,,0.3468969166278839,0.1501709520816803,-0.526104033,0.064021073,-0.274336457,0.15951736271381378,0.3638676106929779,0.4440230429172516,0.27375495433807373,0.4287157356739044,-0.901910603,0.15583546459674835,1.3985934257507324,0.5155693888664246,0.6525822281837463,0.027560011,-0.457121223,0.46738359332084656,-0.179682449,0.3423546850681305,-0.255658537,0.5420160889625549,0.22864799201488495,0.14349143207073212,1.012604832649231,0.3676515519618988,0.41631612181663513,0.49274301528930664,1.0005550384521484,0.41757187247276306
